,English_corrected_title,telugu_corrected_title,School Code
339,"RAHUL CONVENT U P S, PATEL NAGAR","రాహుల్ కాన్వెంట్ ప్రాథమికోన్నత పాఠశాల, పటేల్ నగర్  ",36050490196
340,"GOVT HS(G)HUSSAINIALAM, DEVDIKUSHJA","ప్రభుత్వ  ఉన్నత పాఠశాల (బాలికలు), హుస్సేనీ ఆలం , దేవ్డి కుశ్జా     ",36051191863
341,SRI SARASWATHI SHISHU MAN,"శ్రీ సరస్వతి శిశుమందిర్ పాఠశాల, ఆదిలాబాద్  ",36010390190
342,JEEYAR GURUKULAM,"జీయర్ గురుకులం పాఠశాల, బిరాసిపేట్  ",36012603909
343,"GOVT HS(G)CHOWNIN ALIBEIG, CHOWNINADE ALI BAIG","ప్రభుత్వ  ఉన్నత పాఠశాల (బాలికలు), చౌనిన్  అలీ బీగ్, చౌనినదే  అలీ బేగ్, చార్మినార్     ",36051692639
344,S S C V M DHARMORA,"ఎస్. ఎస్. సి. విద్యా మందిర్ ప్రాథమికోన్నత పాఠశాల , ధర్మోర  ",36011902604
345,"GOVT HS(B)SHAGUNJ, VRDU SHAREEF SHAHGUAL","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) షా గంజ్ , ఉర్దూ షరీఫ్ షాగుల్, బహదూర్‌పుర",36051191845
346,"MAHATHMA GANDHI MEMORIAL , MARUTINAGAR","మహాత్మా గాంధీ మెమోరియల్ ఉన్నత పాఠశాల, మారుతి నగర్, ఖైరతాబాద్   ",36050891210
347,"GOVT PS(B)ARYAVATIKA, LALAPET","ప్రభుత్వ ప్రాథమిక పాఠశాల ( బాలుర) ఆర్య వాటిక , లాలాపేట్, సికింద్రాబాద్    ",36050390210
348,"SHIVDUT RAI E.M HSCHOOL, LADBAZAR","శివ్ దత్ రాయ్ ఇంగ్లీష్ మీడియం ఉన్నత పాఠశాల, లాడ్ బజార్ , ",36051191916
349,AHS MOGADDHAGAD,"ఆశ్రమ ఉన్నత పాఠశాల , మొగద్ధగడ్",36014600604
350,"ST. BATOOL UPPER PRIMARY , REIN BAZAR ROAD","సెయింట్ బటూల్ ప్రాథమికోన్నత పాఠశాల, రెయిన్ బజార్ రోడ్      ",36051692608
351,"MADARSA ANWAR-E-HASHMIA,","మదరసా  అన్వర్ -ఎ- హాష్మియా  ప్రాథమికోన్నత పాఠశాల, బండ్లగూడ      ",36051292206
352,SRI SARASWATHI SHIDHU MANDIR GARMILLA,"శ్రీ సరస్వతి  శిశు మందిర్ పాఠశాల, గర్మిల్ల  ",36013390972
353,"THE ASTRID ROWE MEMORIAL , KARMIKA NAGR","ది  ఆస్ట్రిడ్  రౌ  మెమోరియల్ పాఠశాల, కార్మిక నగర్, ఖైరతాబాద్   ",36050891177
354,"JUPITER MISSION HSCHOOL, OSMAN BAGH","జుపిటర్  మిషన్ ఉన్నత  పాఠశాల, ఉస్మాన్ బాగ్      ",36051191898
355,"GOVT HS(B)CHANCHALGUDA, CHANCHALGUDA","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) చంచల్ గూడ, చంచల్ గూడ    ",36051692644
356,AHS JANNARAM,"ఆశ్రమ ఉన్నత పాఠశాల, జన్నారం",36013001108
357,"GOVT PS(G) AMEERPET, AMEERPET","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలికలు) అమీర్‌పేట్, అమీర్‌పేట్     ",36050190144
358,AHS BHAGYA NAGAR(G)," ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), భాగ్య నగర్     ",36012191280
359,APS BOYS PEMBI,"ఆశ్రమ ప్రాథమిక పాఠశాల (బాలురు),పెంబి   ",36012400811
360,AUPS KADDAM," ఆశ్రమ ప్రాథమికోన్నత పాఠశాల, కడ్డం  ",36012501315
361,"GOVT HS(G) 2ND LANCER, WARD NO 9, LANGER HOUSE","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు) 2 వ లాన్సర్, వార్డ్ నెంబర్ 9, లంగర్ హౌస్   ",36051590179
362,IDARA DARIL ULOOM ZAKARIYA,"ఈదర దారుల్ ఉలూమ్ జకారియా పాఠశాల, నిర్మల్  ",36012195555
363,AHS OWAISI NAGAR," ఆశ్రమ ప్రాథమికోన్నత పాఠశాల, ఒవైసినగర్, భైంసా    ",36011690449
364,SHANTINIKETAN VM LINGAPUR,"శాంతినికేతన్ విద్యామందిర్ పాఠశాల, లింగాపూర్    ",36012503004
365,"MOON LIGHT UPPER PRIMARY , SULTAN SHAHI","మూన్ లైట్  ప్రాథమికోన్నత పాఠశాల, సుల్తాన్ షాహి, బండ్లగూడ     ",36051292040
366,AHS BAZARHATHNOOR,"ఆశ్రమ ఉన్నత పాఠశాల, బజార్ హత్నూర్      ",36011001306
367,AHS GIRLS BHUKTAPUR,"ఆశ్రమ ఉన్నత పాఠశాల, భుక్తా పుర్        ",36010390175
368,SRI SARASWATI V.N,"శ్రీ సరస్వతి విద్యానికేతన్ పాఠశాల, శేట్ పల్లె    ",36015202406
369,AHS BOYS JHARI,"ఆశ్రమ ఉన్నత పాఠశాల (బాలురు), ఝరి           ",36010601702
370,TSSWRS (G) NACHANYELLAPUR,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), నాచన్ ఎల్లాపూర్     ",36012502503
371,KRISHNAVENI T S ECHODA,"కృష్ణవేణి టాలెంట్ పాఠశాల, ఎచోడ ",36010901619
372,AHS GIRLS MAMDIGUDA,"ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), మామిడిగూడ         ",36010303506
373,"SRI SARASWATHI VIDYAMANDI, KHAIRATABAD (MANDAL)","శ్రీ సరస్వతి  విద్యామందిర్ పాఠశాల, ఖైరతాబాద్ (మండల్) ",36050891202
374,AHS ASIFABAD," ఆశ్రమ ఉన్నత పాఠశాల, అసిఫా బాద్   ",36013790234
375,"PARVEEN HS(AIDED), SANJEEVA REDDY NAGAR","పర్వీన్ ఉన్నత పాఠశాల (ఎయిడెడ్), సంజీవరెడ్డి నగర్   ",36050190177
376,LEARNERS LAND LUXETTIPET,"లర్నర్స్  ల్యాండ్ పాఠశాల, లక్సెట్టి పేట్   ",36013201332
377,"GOVT PS(B)YAKUTPURA, BADA BAZAR","ప్రభుత్వ  ప్రాథమిక పాఠశాల (బాలురు), యాకుత్‌పుర        ",36051690106
378,SRI SARASWATHI SHISHU MANDIR KISANGALLY,"శ్రీ సరస్వతి శిశుమందిర్    పాఠశాల, కిసన్ గల్లి      ",36011690448
379,"MOHAMMADIA NOOR UL ULOOM, FATHE SHAN NAGAR MOIN BAGH","మహమ్మదియా నూర్ ఉల్ ఉలూమ్ పాఠశాల, ఫతే షాన్ నగర్, మొయిన్ బాగ్, బండ్లగూడ      ",36051292187
380,"AHLE BAIT HSCHOOL, BIBI NAZAR","అహ్లె బైట్ ఉన్నత పాఠశాల, బీబీ నజర్ ",36051191906
381,"MADARSA MADINATUL ULOOM, MUSHEERABAD","మదరసా మదీనాతుల్  ఉలూమ్ పాఠశాల, ముషీరాబాద్     ",36051492348
382,"GOVT PS(G)LOWERAMBERPET, BHAGYA NAGAR","ప్రభుత్వ  ప్రాథమిక  పాఠశాల (బాలికలు) లోయర్ అంబర్ పేట్, భాగ్య నగర్    ",36050490757
383,"CROWN INTERNATIONAL P S, SHAKERGUNJ","క్రౌన్  ఇంటర్నేషనల్ ప్రాథమిక పాఠశాల, శకర్ గంజ్    ",36051191734
384,SRI SARASWATHI SHISHU MANDIR BHOSI,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, భోసి    ",36011700502
385,AZIZIA URDU (AIDED),"అజీజియా ఉర్దూ ఉన్నత పాఠశాల (ఎయిడెడ్), ఆదిలాబాద్  ",36010390179
386,AHS GIRLS UTNOOR,"ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), ఉత్నూర్",36012602922
387,SRI SARASWATHI SHISHU MANDIR KAMOL,"శ్రీ సరస్వతి శిశు మందిర్ పాఠశాల, కమోల్ ",36011602804
388,"SRI SAIMOHAN TALENT , SANJAY NAGAR KBAD II","శ్రీ సాయి మోహన్ టాలెంట్ ప్రాథమిక పాఠశాల, సంజయ్ నగర్, ఖైరతాబాద్ II     ",36050891241
389,AHS GIRLS THIMMAPUR,"ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), తిమ్మాపూర్",36012402225
390,JAMIA AYESHA SIDDIQA LIL BANATH,"జామియా ఆయేషా సిద్ధిక లిల్ బనత్ పాఠశాల, నిర్మల్  ",36012195544
391,AHS GIRLS NARNOOR,"ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), నార్నూర్",36010603906
392,"MADARSA ANJUMAN KHADIMUL MUSLIMEEN,","మదరసా  అంజుమన్  ఖదిముల్ ముస్లిమీన్ పాఠశాల, అంబర్‌పేట        ",36050490819
393,"GOVT HS(B)HIMAYAT NAGAR,CPL, AMBERPET,HYDERABAD","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు), హిమాయత్ నగర్, సి.పి.ఎల్.అంబర్‌పేట, హైదరాబాద్        ",36050490786
394,BHARATHI V N DANDEPALLY,"భారతి విద్యానికేతన్ పాఠశాల, దండే పల్లి  ",36013101010
395,"ST. GABRIEL EDUCATIONAL , MUSHEERABAD (MANDAL)","సెయింట్ గాబ్రియల్ ఎడ్యుకేషనల్, ముషీరాబాద్ ( మండల్)  ",36051492416
396,TSSWRS BOYS MUDHOLE,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలురు), ముధోల్  ",36011801710
397,SRI ARUNODAYA VIDYAMANDIR,"శ్రీ అరుణోదయ విద్యామందిర్ పాఠశాల, పట్నాపూర్  ",36012700205
398,VASAVI V N MUTYAMPET,"వాసవి విద్యానికేతన్ పాఠశాల, ముత్యంపేట్     ",36013102202
399,"SHIVADAT RAI ENGLISH MEDI, LADBAZAR","శివదత్ రాయ్ ప్రాథమిక పాఠశాల (ఇంగ్లీష్ మీడియం), లాడ్ బజార్   ",36051191749
400,AHS REGULGUDA," ఆశ్రమ ఉన్నత పాఠశాల, రేగుల్ గూడ    ",36013501603
401,"GGHS CHADERGHAT NEW,","ప్రభుత్వ బాలికల ఉన్నత పాఠశాల, చాదర్ ఘాట్ న్యూ పాఠశాల, చాదర్ ఘాట్ న్యూ, చార్మినార్   ",36051600102
402,"GOVT PS(E)RIKABGUNJ, KALIKAMAN","ప్రభుత్వ పాఠశాల (ఇంగ్లీష్ మీడియం), రికాబ్ గంజ్, కాళీ కమాన్     ",36051190118
403,SRI ABHINAVA VIDYA SADAN MANCHERIAL,"శ్రీ అభినవ  విద్యాసదన్ పాఠశాల, మంచిర్యాల్   ",36013302215
404,AHS KAWAL,"ఆశ్రమ ఉన్నత పాఠశాల, కావాల్",36013000306
405,SHARADA SISHU MANDIR HIG SINGAPUR,"శారద శిశుమందిర్ పాఠశాల, హెచ్.ఐ.జి. సింగాపూర్  ",36013391317
406,BL M T E/M KANNEPALLY,"బి.ఎల్.ఎం.టి. ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), కన్నెపల్లి",36013103102
407,H S VACHASPATHI VIDYANIKE,"హెచ్.ఎస్.వాచస్పతి విద్యానికేతన్ పాఠశాల, ధర్మారం   ",36033301109
408,VANI NIKETHAN ELLANTHAKUNTA,"వాణి నికేతన్ పాఠశాల, ఎల్లంతకుంట",36034501208
409,SAI GOUTHAMI GUNDARAM,"సాయి గౌతమి ప్రాథమికోన్నత పాఠశాల, గుండారం  ",36030801404
410,TW GOVT APS ULVANOOR,"తెలంగాణ గిరిజన సంక్షేమ ఆశ్రమ ప్రాథమిక పాఠశాల, ఉల్వనూర్  ",36101600208
411,ADARSHA KATARAM,"ఆదర్శ  పాఠశాల, కాటారం ",36031002604
412,SUVIDYA SHIVA VEEDI,"సువిద్య ఉన్నత పాఠశాల, శివ వీధి, జగిత్యాల్  ",36032095105
413,"GOVT HS(GB)NAMPALLY, GANDHIBHAVAN","ప్రభుత్వ  ఉన్నత పాఠశాల (బాలురు,బాలికలు), నాంపల్లి, గాంధీ భవన్    ",36050690931
414,BHARATEEYA VIDYA KENDRA H,"భారతీయ విద్యా కేంద్ర ఉన్నత పాఠశాల, కరీంనగర్  ",36033696218
415,MILLENNIUM TALENT HIGH SC,"మిలీనియం టాలెంట్ ఉన్నత పాఠశాల, మధిర      ",36104501429
416,SRI SARASWATHI VIDYA MAND,"శ్రీ సరస్వతి విద్యామందిర్ పాఠశాల, కత్నేపల్లి    ",36033100702
417,TRINITY MODEL SECONDARY S,"ట్రినిటీ మోడల్ సెకండరీ పాఠశాల,పెద్దపల్లి    ",36031601245
418,TSMS ODELA,"తెలంగాణ మోడల్ పాఠశాల, ఓడెల     ",36033200414
419,EBENEZER ITIKIAL,"ఎబెనెజర్ ఉన్నత పాఠశాల, ఇటిక్యాల్   ",36030300806
420,GEERVANI CHOPADANDI,"గీర్వాణి  ఉన్నత పాఠశాల, చొప్పదండి",36033000524
421,BRESH HIGHSCHOOL,"బ్రెస్ ఉన్నత పాఠశాల, భద్రాచలం    ",36100990139
422,"GOVT HS(B)TIRUMALGIRI, Secunderabad","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు), తిరుమల్ గిరి, సికింద్రాబాద్  ",36050290278
423,"SIDDARTHA,SARAGAMAVEEDI","సిద్ధార్థ ప్రాథమికోన్నత పాఠశాల, సరగమవేది    ",36030500917
424,VIVEKANANDA RESIDENTIAL S,"వివేకానంద రెసిడెన్షియల్ పాఠశాల, కరీంనగర్  ",36033696270
425,LIMBAGIRI DHARMAPURI,"లింబగిరి ఉన్నత పాఠశాల, ధర్మపురి   ",36030500924
426,MASTER MINDS E/MSCHOOL,"మాస్టర్ మైండ్స్  ఇంగ్లీష్ మీడియం పాఠశాల, అనంతారం   ",36032001007
427,"GOVT HS(G)KINGSWAY, R P ROAD","ప్రభుత్వ ఉన్నత పాఠశాల, కింగ్స్ వే , ఆర్. పి. రోడ్, సికింద్రాబాద్    ",36051390191
428,ST.PAULS VIDYANAGAR,"సెయింట్ పాల్స్ ప్రాథమికోన్నత పాఠశాల, విద్యానగర్, జగిత్యాల్    ",36032095112
429,"BBS DEVNAR FOUNDATION, MAYUR MARGH","బి.బి.ఎస్. దేవనార్ ఫౌండేషన్ పాఠశాల, మయూర్ మార్గ్, సికింద్రాబాద్    ",36051392279
430,"SHIVAJI VIDYA PEETH, ROAD NO 10","శివాజీ విద్యా పీఠ్,  రోడ్ నెంబర్.10, షేక్ పేట్, హైదరాబాద్   ",36050790177
431,CHAITANYA BHARATHI VIDYAL,"చైతన్య భారతి ఉన్నత పాఠశాల, విద్యాల్ ",36104002008
432,NEW VICTORY TALENT,"న్యూ విక్టరీ టాలెంట్ ఉన్నత పాఠశాల, ఖమ్మం  ",36103601420
433,RAMA KRISHNA VIDYANILAYAM,"రామకృష్ణ విద్యానిలయం పాఠశాల,పెగడపల్లి    ",36032901307
434,VIDYA VIKAS VIDYANIKETHAN,"విద్యా వికాస్ విద్యానికేతన్ పాఠశాల, కుసుమంచి  ",36103900623
435,MATHRUSRI KAMANPUR,"మాతృశ్రీ ఉన్నత పాఠశాల, కమాన్‌పూర్ ",36030801512
436,TSMS SUTHANABAD,"తెలంగాణ మోడల్ పాఠశాల, సుల్తానాబాద్   ",36033100515
437,GLOBAL PUBLIC,"గ్లోబల్ పబ్లిక్ ప్రాథమికోన్నత పాఠశాల, గోయిల్వాడ ",36030700803
438,VIGNAN SHANIGARAM,"విజ్ఞాన్ ప్రాథమికోన్నత పాఠశాల, శనిగరం   ",36035000608
439,MAHARSHI ALLIPOOR,"మహర్షి ప్రాథమికోన్నత పాఠశాల, అల్లిపూర్    ",36030301907
440,GEETANJALI VIDHYALAYAM,"గీతాంజలి విధ్యాలయం పాఠశాల, కామేపల్లి  ",36102300410
441,"SPRINGDALE P S, SANTOSH NAGAR","స్ప్రింగ్‌డేల్ ప్రాథమిక పాఠశాల, సంతోష్ నగర్, హైదరాబాద్   ",36051090178
442,"SRI RAJA RAJESHWARA,ELIGAID","శ్రీ రాజరాజేశ్వర ప్రాథమికోన్నత పాఠశాల, ఎలిగేడ్   ",36035701011
443,JHANSI CHOPADANDI,"ఝాన్సీ ఉన్నత పాఠశాల, చొప్పదండి    ",36033000528
444,"GOVT HS(APSR) GADDIANNARAM, SAIDABAD","ప్రభుత్వ ఉన్నత పాఠశాల (ఎ.పి.ఎస్.ఆర్) గడ్డి అన్నారం, సైదా బాద్   ",36051091739
445,VIVEKANANDA GANGADHARA,"వివేకానంద ఉన్నత పాఠశాల, గంగాధర  ",36032700918
446,VIVEKAVARDHINI AMLAPUR,"వివేకవర్ధిని ఉన్నత పాఠశాల, అమలాపూర్",36035000825
447,PRAGATHI KORAPALY,"ప్రగతి ప్రాథమిక పాఠశాల, కొరపలి    ",36033300809
448,VIVEKANANDA VIDYANIKETAN,"వివేకానంద విద్యానికేతన్ పాఠశాల, కందుకూరు  ",36103001207
449,NEW CENTURY HIGHSCHOOL,"న్యూ సెంచరీ ఉన్నత పాఠశాల, బూర్గంపాడు   ",36101501221
450,"GOVT HS(B)BOWENPALLY, TIRUMALGIRI,SECUNDERABAD","ప్రభుత్వ  ఉన్నత పాఠశాల (బాలురు) బోయిన్ పల్లి, తిరుమల గిరి, సికింద్రాబాద్  ",36050290276
451,SAI MANAIR,"సాయి మానేర్ ఉన్నత పాఠశాల, కరీంనగర్      ",36033696284
452,VIVEKANANDA GAREPALY,"వివేకానంద ప్రాథమిక పాఠశాల, గారెపల్లి  ",36031002502
453,VISHWA BHARATHI JEELAKUNTA,"విశ్వ భారతి ప్రాథమికోన్నత పాఠశాల, జీలకుంట",36033200709
454,S NIKETAM MARRIPALLIGUDEM,"ఎస్.నికేతం ప్రాథమికోన్నత పాఠశాల, మర్రిపల్లి గూడెం  ",36035000406
455,TRINITY KOTHAPALLI,"ట్రినిటీ  ఉన్నత పాఠశాల, కొత్తపల్లి, ధర్మారం  ",36033301111
456,SRI RAMA VIDYANIKETHAN H,"శ్రీ రామ విద్యానికేతన్ ఉన్నత పాఠశాల, రామగుండం    ",36030795922
457,"GOVT HS(B)BOLLARAM, Risala bazar,Bollarum","ప్రభుత్వ  ఉన్నత పాఠశాల, రిసాలబజార్, బొల్లారం  ",36050290279
458,VIDYODAYA JAMIKUNTA,"విద్యోదయ ఉన్నత పాఠశాల, జమ్మికుంట    ",36033301046
459,INDIA MISSION SECONDARY S,"ఇండియా మిషన్ సెకండరీ పాఠశాల, పెద్దపల్లి ",36031601236
460,"GOVT HS(B)BEGUMPET NO 2, BEGUMPET NO.2","ప్రభుత్వ ఉన్నత పాఠశాల (బాలురు) బేగంపేట్ నెంబర్.2, బేగంపేట్ నెంబర్.2,హైదరాబాద్   ",36051390189
461,SRI VIVEKA NANDA ODELA,"శ్రీ వివేకానంద ప్రాథమికోన్నత పాఠశాల,  ఓడెల       ",36033200406
462,TSBCWRIS GIRLS LANKAPALLI,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల (బాలికలు), లంకపల్లి       ",36103100608
463,SIDDHARTHA T/M,"సిద్ధార్థ ఉన్నత పాఠశాల ( తెలుగు మీడియం ), సిరిసిల్ల   ",36034490788
464,"IQBALIA SCHOOL(UPS), BANJARAHILLS","ఇక్బాలియా ప్రాథమికోన్నత పాఠశాల, బంజారా హిల్స్   ",36050700129
465,CHAITANYA CHELGAL,"చైతన్య ఉన్నత పాఠశాల, చెల్గల్  ",36032001507
466,ST THERESAS AIDED PRIMARY,"సెయింట్ థెరిసాస్ ఎయిడెడ్ ప్రాథమిక పాఠశాల, సారపాక      ",36101590801
467,ST.THERESA HUZURABAD,"సెయింట్ థెరిసా ఉన్నత పాఠశాల, హుజురాబాద్    ",36034901063
468,MOUNT CARMEL DHARUR,"మౌంట్ కార్మెల్ ఉన్నత పాఠశాల, ధరూర్",36032001910
469,VASISTAVIDYA MANDIR,"వశిష్ట విద్యా మందిర్ పాఠశాల, పడమట నర్సాపురం  ",36102400305
470,SHANTHINIKETHAN ODELA,"శాంతినికేతన్ ప్రాథమికోన్నత పాఠశాల, ఓడెల    ",36033200408
471,"SRR,PURANIPET","ఎస్.ఆర్.ఆర్.ఉన్నత పాఠశాల, పురానిపేట్  ",36032096002
472,SREEMYTHILI HIGHSCHOOL,"శ్రీ మైథిలి ఉన్నత పాఠశాల, భద్రాచలం    ",36100990138
473,LOYALA JAMIKUNTA,"లయోల ఉన్నత పాఠశాల, జమ్మికుంట  ",36033301048
474,"JAWAHAR,CHOPADANDI","జవహర్ ఉన్నత పాఠశాల, చొప్పదండి    ",36033000529
475,SRI VIVEK NANDA UPPER PRI,"శ్రీ వివేకానంద ప్రాథమికోన్నత పాఠశాల, తాటిపల్లె  ",36032801203
476,TSSWREIS MANDALAPALLI,"తెలంగాణ సాంఘీక సంక్షేమ గురుకుల పాఠశాల, మందపల్లి  ",36102802006
477,VIGNANA BHARATHI VIDYAMAN,"విజ్ఞాన భారతి విద్యామందిర్ పాఠశాల, కరీంనగర్    ",36033696136
478,NALANDA VIDYA NIKETAN HIG,"నలందా విద్యా నికేతన్ పాఠశాల,హెచ్.ఐ.జి.మానకొండూర్  ",36033501120
479,TSMS HUSNABAD,"తెలంగాణ మోడల్ పాఠశాల, హుస్నాబాద్",36035500456
480,SRI VIDYANIKETHAN,"శ్రీ విద్యానికేతన్ పాఠశాల, సిరిసిల్ల  ",36034490791
481,GEETHA CHOPADANDI,"గీత ఉన్నత పాఠశాల, చొప్పదండి   ",36033000527
482,SARASWATHI KOTHAPALLY,"సరస్వతి  ప్రాథమికోన్నత పాఠశాల, కొత్త పల్లి  ",36034201604
483,"JNR PATASHALA,THIRUMALAGIRI","జె.ఎన్.అర్ ప్రాథమికోన్నత పాఠశాల, తిరుమలగిరి, సికింద్రాబాద్   ",36050290578
484,CHAITANYA DHARMAPURI,"చైతన్య ప్రాథమిక పాఠశాల, ధర్మపురి  ",36030500911
485,TW AGHS ANANTHARAM,"ప్రభుత్వ  గిరిజన సంక్షేమ ఆశ్రమ ఉన్నత పాఠశాల, అనంతారం    ",36102700801
486,TW GOVT AHS MAMAKANNU,"ప్రభుత్వ  గిరిజన సంక్షేమ ఆశ్రమ ఉన్నత  పాఠశాల, మామకన్ను       ",36100500706
487,SRI VENKATESHWARA V.NIKET,"శ్రీ వెంకటేశ్వర విద్యానికేతన్ పాఠశాల, రామగుండం  ",36030795877
488,ADARSHA GAREPALY,"ఆదర్శ ఉన్నత పాఠశాల, గారెపల్లి  ",36031002504
489,"GOVTHS(B)SULTANBAZAR, SULTHAN BAZAR,KOTI","ప్రభుత్వ ఉన్నత పాఠశాల(బాలురు), సుల్తాన్ బజార్, కోఠి  ",36050690924
490,SRI VANI SOMARAMPET,"శ్రీ వాణి ఉన్నత పాఠశాల, సోమారం పేట్   ",36034502109
491,SRI SARASWATHI VIDYAMANDIR,"శ్రీ సరస్వతి విద్యామందిర్ పాఠశాల, రాజేశ్వర్ రావ్ పేట్    ",36030101606
492,VIVEKA BHARATHI,"వివేకా భారతి ప్రాథమికోన్నత పాఠశాల, ఖమ్మం  ",36103601426
493,TRINITY MODEL SECONDARY S,"ట్రినిటీ మోడల్ సెకండరి పాఠశాల, పెద్దపల్లి  ",36031601237
494,"GOVT HS(G) NALLAGUTTA OLD, NALLAGUTTA OLD","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు) నల్ల గుట్ట ఓల్డ్, నల్ల గుట్ట ఓల్డ్, సికింద్రాబాద్    ",36051390197
495,TSMS VEENAVANKA,"తెలంగాణ మోడల్ పాఠశాల, వీణ వంక  ",36033401116
496,USHODAYA VIDYA MANDIR HIG,"ఉషోదయ విద్యా మందిర్ పాఠశాల,హెచ్. ఐ. జి. కరీంనగర్    ",36033696217
497,TSMS RAMADUGU,"తెలంగాణ మోడల్ పాఠశాల, రామడుగు    ",36033700203
498,BALAVIDYANIKETHAN,"బాలవిద్యానికేతన్ పాఠశాల, కల్లూరు    ",36103200225
499,"GOVT PS(G) KARKANA, Karkhana","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలికలు) కార్ఖానా, కార్ఖానా        ",36050290214
500,TSMS CHOPPADANDI,"తెలంగాణ మోడల్ పాఠశాల, చొప్పదండి      ",36033000905
501,SJRRS SRIVANI MADDUNOOR,"ఎస్.జె.అర్.అర్.ఎస్.శ్రీవాణి ప్రాథమికోన్నత పాఠశాల, మద్దునూర్",36030501802
502,SARASWATHI VIDYA MANDIR,"సరస్వతి విద్యా మందిర్ పాఠశాల,పెద్దపల్లి  ",36031601230
503,SRI VANI 8 INC COLONY,"శ్రీ వాణి ఉన్నత పాఠశాల, 8 ఐ.ఎన్.సి. కాలనీ, జల్లారం, కమాన్‌పూర్",36030890220
504,"GOVT HS(GB)GOSHAMAHAL, GOSHAMAHAL","ప్రభుత్వ  ఉన్నత పాఠశాల (బాలురు,బాలికలు) గోషామహల్, గోషామహల్  ",36050690925
505,SRISRINIVASAVIDYANIKETAN,"శ్రీ శ్రీనివాస విద్యానికేతన్ పాఠశాల, బూర్గంపాడు     ",36101501213
506,TW GOVT AHS PALVONCHA,"ప్రభుత్వ  గిరిజన సంక్షేమ ఆశ్రమ ఉన్నత పాఠశాల, పాల్వంచ  ",36101690747
507,PRAGATHI K.CHARLA,"ప్రగతి ఉన్నత పాఠశాల, కల్వచెర్ల  ",36030801807
508,VIVEKANANDA GANGADHARA,"వివేకానంద ఉన్నత పాఠశాల, గంగాధర  ",36032700910
509,TSMS VELGATOOR,"తెలంగాణ మోడల్ పాఠశాల, వెల్గటూర్      ",36030600221
510,SWAMIVIVEKANANDA VIDYANIK,"స్వామి వివేకానంద విద్యానికేతన్ పాఠశాల, ఖమ్మం    ",36103691018
511,GOOD SHEPERD SRIRAMPUR,"గుడ్ షేపర్డ్ ప్రాథమికోన్నత పాఠశాల, శ్రీరాంపూర్  ",36031501115
512,AKSHARA RAJARAMPALLY,"అక్షర ఉన్నత పాఠశాల, రాజరాంపల్లి  ",36030602109
513,TW GOVT AHS G MANGAVAI,"ప్రభుత్వ  గిరిజన  ఆశ్రమ ఉన్నత పాఠశాల (బాలికలు), మంగవై     ",36100803202
514,KERALA MODEL ENGLISH MEDIUM,"కేరళ మోడల్ ఉన్నత పాఠశాల(ఇంగ్లీష్ మీడియం), కోహెడ  ",36035400813
515,ADARSHA,"ఆదర్శ ప్రాథమికోన్నత పాఠశాల, సిరిసిల్ల  ",36034490805
516,USHODAYA PURANIPET,"ఉషోదయ ప్రాథమికోన్నత పాఠశాల, పురానిపేట్  ",36032090154
517,"GOVT HS(G)T NAMPALLY, BAZARGHAT","ప్రభుత్వ ఉన్నత పాఠశాల (బాలికలు) తెలుగు మీడియం, నాంపల్లి, బజార్ ఘాట్  ",36050690933
518,"GOVT PS(G)KAVADIGUDA, UNDAESHWARAIAH MEMORIAL BUILIN","ప్రభుత్వ ప్రాథమిక పాఠశాల (బాలికలు), ఉండేశ్వరయ్య మెమోరియల్ బిల్డింగ్,కవాడిగూడ       ",36051390107
519,TSREIS TATIPALLY,"తెలంగాణ గురుకుల పాఠశాల, తాటిపల్లి",36032801205
520,TW GOVT AHS KAMALAPURAM,"ప్రభుత్వ గిరిజన సంక్షేమ ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల, కమలాపురం",36102601203
521,KERALA SAIDAPUR,"కేరళ ప్రాథమికోన్నత పాఠశాల, సైదాపూర్",36035200705
522,KAKATIYA E/M SCHOOL(UPS),"కాకతీయ ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం), తెలుకుంట    ",36031700906
523,TSMS PEGADAPALLY,"తెలంగాణ మోడల్ పాఠశాల,పెగడపల్లి",36032901312
